ID	collection	procedence	GC_ID	n_contigs	tot_length	N50	N90	n_genes	quality	kingdom	phylum	class	order	family	genus	taxonomic_group	host	compartment	soil	alternative_ID	plate_position	acession_number	RSV_V2V4_ID	RSV_V5V7_ID	copy_number_16S
Leaf1	AtSPHERE	AtSPHERE		6	3894571	2479395	511572	3657	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.909.820.609
Leaf2	AtSPHERE	AtSPHERE		22	3715735	286147	111817	3575	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	28.107.076
Leaf3	AtSPHERE	AtSPHERE		4	4392999	1343706	933668	3892	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae			Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.833.242.979
Leaf5	AtSPHERE	AtSPHERE		25	4001394	211032	85731	3662	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.847.865.805
Leaf7	AtSPHERE	AtSPHERE		7	4536885	1256077	1128283	4279	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.681.939.227
Leaf8	AtSPHERE	AtSPHERE		12	3328572	839735	156184	3106	clean	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.424.302.667
Leaf9	AtSPHERE	AtSPHERE		7	3765909	697573	496917	3534	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	2.878.726.815
Leaf10	AtSPHERE	AtSPHERE		34	4135713	244193	81740	3853	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	3.536.107.784
Leaf11	AtSPHERE	AtSPHERE		7	3765831	697637	496918	3537	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		Arabidopsis thaliana	Leaf	Zurich				NA	NA	302.554.046
Leaf13	AtSPHERE	AtSPHERE		87	5993972	168325	36285	5873	clean	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		Arabidopsis thaliana	Leaf	Zurich				NA	NA	1.254.494.814
