ID	strain	group	compartment	host	tax	nifh	genome_size	genes	taxonomy
3038	ORS 571	public	Nodule	Legume	Azorhizobium	TRUE	5369772	4810	Other
3039	UFLA1-100	public	Nodule	Legume	Azorhizobium	TRUE	5816562	5339	Other
3046	USDA110	public	Nodule	Legume	Bradyrhizobium	TRUE	9105828	8498	Bradyrhizobium
3118	SEMIA 5080	public	Nodule	Legume	Bradyrhizobium	TRUE	9085533	8479	Bradyrhizobium
3104	USDA 122	public	Nodule	Legume	Bradyrhizobium	TRUE	8976980	8424	Bradyrhizobium
3134	Is-1	public	Nodule	Legume	Bradyrhizobium	TRUE	8983878	8402	Bradyrhizobium
3117	SEMIA 5080	public	Nodule	Legume	Bradyrhizobium	TRUE	8951550	8372	Bradyrhizobium
3093	WSM2254	public	Nodule	Legume	Bradyrhizobium	TRUE	9086516	8517	Bradyrhizobium
3107	CB756	public	Nodule	Legume	Bradyrhizobium	TRUE	9826880	9213	Bradyrhizobium
3094	USDA 3384	public	Nodule	Legume	Bradyrhizobium	TRUE	9800269	9230	Bradyrhizobium
3080	USDA 124	public	Nodule	Legume	Bradyrhizobium	TRUE	9002274	8508	Bradyrhizobium
3108	22	public	Nodule	Legume	Bradyrhizobium	TRUE	7504559	7093	Bradyrhizobium
3116	DOA9	public	Nodule	Legume	Bradyrhizobium	TRUE	7836549	7325	Bradyrhizobium
3136	BR3267	public	Nodule	Legume	Bradyrhizobium	TRUE	7904309	7352	Bradyrhizobium
3106	WSM1743	public	Nodule	Legume	Bradyrhizobium	TRUE	8341956	7884	Bradyrhizobium
3088	in8p8	public	Nodule	Legume	Bradyrhizobium	FALSE	7589915	7274	Bradyrhizobium
3083	is5	public	Nodule	Legume	Bradyrhizobium	FALSE	7588794	7281	Bradyrhizobium
2004	Leaf396	atsphere	Leaf	Arabidopsis	Bradyrhizobium	FALSE	7709278	7346	Bradyrhizobium
3053	WSM471	public	Nodule	Legume	Bradyrhizobium	TRUE	7784016	7287	Bradyrhizobium
3079	WSM4349	public	Nodule	Legume	Bradyrhizobium	TRUE	8294334	8024	Bradyrhizobium
3054	WSM1253	public	Nodule	Legume	Bradyrhizobium	TRUE	8719808	8276	Bradyrhizobium
3114	URHA0013	public	Nodule	Legume	Bradyrhizobium	FALSE	7193102	6866	Bradyrhizobium
3113	WSM1417	public	Nodule	Legume	Bradyrhizobium	TRUE	8048963	7617	Bradyrhizobium
3127	LTSP857	public	Nodule	Legume	Bradyrhizobium	FALSE	8425324	7901	Bradyrhizobium
3126	LTSP849	public	Nodule	Legume	Bradyrhizobium	FALSE	8569239	8024	Bradyrhizobium
3075	S23321	public	Nodule	Legume	Bradyrhizobium	TRUE	7231841	6834	Bradyrhizobium
3076	USDA 6	public	Nodule	Legume	Bradyrhizobium	TRUE	9207384	8701	Bradyrhizobium
3122	E109	public	Nodule	Legume	Bradyrhizobium	TRUE	9224208	8672	Bradyrhizobium
3129	FN1	public	Nodule	Legume	Bradyrhizobium	TRUE	9134728	8612	Bradyrhizobium
3102	USDA 6	public	Nodule	Legume	Bradyrhizobium	TRUE	9131141	8641	Bradyrhizobium
3119	SEMIA 5079	public	Nodule	Legume	Bradyrhizobium	TRUE	9583027	9102	Bradyrhizobium
3096	USDA 38	public	Nodule	Legume	Bradyrhizobium	TRUE	9608975	9144	Bradyrhizobium
3082	WSM2793	public	Nodule	Legume	Bradyrhizobium	TRUE	8871253	8328	Bradyrhizobium
3095	USDA 4	public	Nodule	Legume	Bradyrhizobium	TRUE	8737671	8161	Bradyrhizobium
3105	WSM3983	public	Nodule	Legume	Bradyrhizobium	TRUE	8789602	8381	Bradyrhizobium
3138	BR3351	public	Nodule	Legume	Bradyrhizobium	TRUE	9139682	8731	Bradyrhizobium
3086	Cp5.3	public	Nodule	Legume	Bradyrhizobium	TRUE	8918781	8467	Bradyrhizobium
3099	Ec3.3	public	Nodule	Legume	Bradyrhizobium	TRUE	10034502	9643	Bradyrhizobium
3048	ORS278	public	Nodule	Legume	Bradyrhizobium	TRUE	7456587	6674	Bradyrhizobium
3049	ORS285	public	Nodule	Legume	Bradyrhizobium	TRUE	7586789	6748	Bradyrhizobium
3078	S58	public	Nodule	Legume	Bradyrhizobium	TRUE	8264165	7164	Bradyrhizobium
3047	BTAi1	public	Nodule	Legume	Bradyrhizobium	TRUE	8493513	7671	Bradyrhizobium
3092	Tv2a-2	public	Nodule	Legume	Bradyrhizobium	TRUE	8496279	8098	Bradyrhizobium
3091	ARR65	public	Nodule	Legume	Bradyrhizobium	TRUE	8613869	8215	Bradyrhizobium
3081	USDA 76	public	Nodule	Legume	Bradyrhizobium	TRUE	9484767	8964	Bradyrhizobium
3115	USDA 94	public	Nodule	Legume	Bradyrhizobium	TRUE	9558895	9046	Bradyrhizobium
3131	PAC 48	public	Nodule	Legume	Bradyrhizobium	TRUE	8693460	8203	Bradyrhizobium
3097	USDA 3254	public	Nodule	Legume	Bradyrhizobium	TRUE	8979722	8475	Bradyrhizobium
3103	USDA 3259	public	Nodule	Legume	Bradyrhizobium	TRUE	8722461	8242	Bradyrhizobium
3137	BR3262	public	Nodule	Legume	Bradyrhizobium	TRUE	8962729	8398	Bradyrhizobium
3130	SEMIA 6208	public	Nodule	Legume	Bradyrhizobium	TRUE	8206436	7815	Bradyrhizobium
3112	OHSU_III	public	Nodule	Legume	Bradyrhizobium	FALSE	7927081	7378	Bradyrhizobium
3123	UASWS1015	public	Nodule	Legume	Bradyrhizobium	FALSE	7780644	7269	Bradyrhizobium
3090	NA	public	Nodule	Legume	Bradyrhizobium	FALSE	7646147	7111	Bradyrhizobium
3133	SEMIA 690	public	Nodule	Legume	Bradyrhizobium	TRUE	8797166	8810	Bradyrhizobium
3132	SEMIA 6148	public	Nodule	Legume	Bradyrhizobium	TRUE	9761227	9377	Bradyrhizobium
3128	LTSP885	public	Nodule	Legume	Bradyrhizobium	FALSE	7851216	7260	Bradyrhizobium
3125	LTSPM299	public	Nodule	Legume	Bradyrhizobium	FALSE	9090422	8525	Bradyrhizobium
3098	WSM2783	public	Nodule	Legume	Bradyrhizobium	TRUE	9902361	9634	Bradyrhizobium
3085	Ai1a-2	public	Nodule	Legume	Bradyrhizobium	TRUE	9029266	8484	Bradyrhizobium
3101	WSM1741	public	Nodule	Legume	Bradyrhizobium	TRUE	7952346	7568	Bradyrhizobium
3142	Ro19	public	Nodule	Legume	Bradyrhizobium	TRUE	8466225	8344	Bradyrhizobium
3143	CCBAU 23086	public	Nodule	Legume	Bradyrhizobium	TRUE	8817291	8553	Bradyrhizobium
3139	LmjM6	public	Nodule	Legume	Bradyrhizobium	TRUE	9146476	8929	Bradyrhizobium
3141	LmjM3	public	Nodule	Legume	Bradyrhizobium	TRUE	8845258	8740	Bradyrhizobium
3084	URHA0002	public	Nodule	Legume	Bradyrhizobium	FALSE	6972827	6746	Bradyrhizobium
3245	PA1	public	Nodule	Legume	Methylobacterium	FALSE	5471154	4983	Methylobacteriaceae
2033	Leaf119	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5423799	4977	Methylobacteriaceae
2041	Leaf121	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5528490	5134	Methylobacteriaceae
3251	AM1	public	Nodule	Legume	Methylobacterium	FALSE	6879778	6486	Methylobacteriaceae
2035	Leaf122	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5516691	5182	Methylobacteriaceae
2023	Leaf92	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5453864	5094	Methylobacteriaceae
3249	CM4	public	Nodule	Legume	Methylobacterium	FALSE	6180732	5700	Methylobacteriaceae
3252	DM4	public	Nodule	Legume	Methylobacterium	FALSE	6123851	5764	Methylobacteriaceae
2022	Leaf90	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5671203	5286	Methylobacteriaceae
2042	Leaf123	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5437666	5037	Methylobacteriaceae
3248	BJ001	public	Nodule	Legume	Methylobacterium	FALSE	5848997	5446	Methylobacteriaceae
3257	MB200	public	Nodule	Legume	Methylobacterium	FALSE	5760753	5372	Methylobacteriaceae
2047	Leaf456	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5577040	5295	Methylobacteriaceae
3267	CBMB20	public	Nodule	Legume	Methylobacterium	FALSE	6286629	5806	Methylobacteriaceae
3266	UNCCL110	public	Nodule	Legume	Methylobacterium	FALSE	6613608	6379	Methylobacteriaceae
3265	EUR3 AL-11	public	Nodule	Legume	Methylobacterium	FALSE	7209506	6831	Methylobacteriaceae
3247	JCM 2831	public	Nodule	Legume	Methylobacterium	FALSE	6899110	6504	Methylobacteriaceae
3270	ME121	public	Nodule	Legume	Methylobacterium	FALSE	7083539	6747	Methylobacteriaceae
3262	285MFTsu5.1	public	Nodule	Legume	Methylobacterium	FALSE	6628554	6314	Methylobacteriaceae
2043	Leaf361	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	6849062	6608	Methylobacteriaceae
3258	SR1.6/6	public	Nodule	Legume	Methylobacterium	FALSE	6214449	5977	Methylobacteriaceae
3277	ARG-1	public	Nodule	Legume	Methylobacterium	FALSE	6289914	6155	Methylobacteriaceae
3254	GXF4	public	Nodule	Legume	Methylobacterium	FALSE	6107791	5922	Methylobacteriaceae
3259	77	public	Nodule	Legume	Methylobacterium	FALSE	4664957	4270	Methylobacteriaceae
3260	88A	public	Nodule	Legume	Methylobacterium	FALSE	4889301	4531	Methylobacteriaceae
2032	Leaf106	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4759318	4442	Methylobacteriaceae
2019	Leaf85	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5143223	4823	Methylobacteriaceae
2024	Leaf93	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4746437	4420	Methylobacteriaceae
3264	10	public	Nodule	Legume	Methylobacterium	FALSE	4982370	4608	Methylobacteriaceae
2020	Leaf86	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5303880	4987	Methylobacteriaceae
2029	Leaf91	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	5260378	4961	Methylobacteriaceae
2025	Leaf99	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4645412	4351	Methylobacteriaceae
2039	Leaf112	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4693153	4444	Methylobacteriaceae
2026	Leaf102	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4659682	4360	Methylobacteriaceae
2046	Leaf469	atsphere	Leaf	Arabidopsis	Methylobacterium	FALSE	4700855	4439	Methylobacteriaceae
